합체,형태소,품사,분류,카운트,상대빈도,시각화용,,
A_Alpha,A,Alpha,교촌 Before,7,0.01%,A A A A A A A ,,
AET_Alpha,AET,Alpha,교촌 Before,1,0.00%,AET ,,
AG_Alpha,AG,Alpha,교촌 Before,1,0.00%,AG ,,
ALL_Alpha,ALL,Alpha,교촌 Before,1,0.00%,ALL ,,
AST_Alpha,AST,Alpha,교촌 Before,1,0.00%,AST ,,
AUSD_Alpha,AUSD,Alpha,교촌 Before,1,0.00%,AUSD ,,
AUTOPLAY_Alpha,AUTOPLAY,Alpha,교촌 Before,3,0.00%,AUTOPLAY AUTOPLAY AUTOPLAY ,,
Ad_Alpha,Ad,Alpha,교촌 Before,1,0.00%,Ad ,,
Add_Alpha,Add,Alpha,교촌 Before,3,0.00%,Add Add Add ,,
Aid_Alpha,Aid,Alpha,교촌 Before,1,0.00%,Aid ,,
Alder_Alpha,Alder,Alpha,교촌 Before,1,0.00%,Alder ,,
All_Alpha,All,Alpha,교촌 Before,2,0.00%,All All ,,
Amita_Alpha,Amita,Alpha,교촌 Before,1,0.00%,Amita ,,
Amiyo_Alpha,Amiyo,Alpha,교촌 Before,1,0.00%,Amiyo ,,
Anbakyong_Alpha,Anbakyong,Alpha,교촌 Before,1,0.00%,Anbakyong ,,
Andrew_Alpha,Andrew,Alpha,교촌 Before,1,0.00%,Andrew ,,
Angel_Alpha,Angel,Alpha,교촌 Before,1,0.00%,Angel ,,
Atomic_Alpha,Atomic,Alpha,교촌 Before,1,0.00%,Atomic ,,
Aura_Alpha,Aura,Alpha,교촌 Before,1,0.00%,Aura ,,
AutoMatic_Alpha,AutoMatic,Alpha,교촌 Before,1,0.00%,AutoMatic ,,
Avenir_Alpha,Avenir,Alpha,교촌 Before,1,0.00%,Avenir ,,
B_Alpha,B,Alpha,교촌 Before,11,0.02%,B B B B B B B B B B B ,,
BANANA_Alpha,BANANA,Alpha,교촌 Before,1,0.00%,BANANA ,,
BANANANA_Alpha,BANANANA,Alpha,교촌 Before,1,0.00%,BANANANA ,,
BANE_Alpha,BANE,Alpha,교촌 Before,1,0.00%,BANE ,,
BB_Alpha,BB,Alpha,교촌 Before,3,0.00%,BB BB BB ,,
BBQ_Alpha,BBQ,Alpha,교촌 Before,27,0.04%,BBQ BBQ BBQ BBQ BBQ BBQ BBQ BBQ BBQ BBQ BBQ BBQ BBQ BBQ BBQ BBQ BBQ BBQ BBQ BBQ BBQ BBQ BBQ BBQ BBQ BBQ BBQ ,,
BHC_Alpha,BHC,Alpha,교촌 Before,2,0.00%,BHC BHC ,,
BLUE_Alpha,BLUE,Alpha,교촌 Before,1,0.00%,BLUE ,,
BY_Alpha,BY,Alpha,교촌 Before,3,0.00%,BY BY BY ,,
Baan_Alpha,Baan,Alpha,교촌 Before,1,0.00%,Baan ,,
Bad_Alpha,Bad,Alpha,교촌 Before,1,0.00%,Bad ,,
Bae_Alpha,Bae,Alpha,교촌 Before,1,0.00%,Bae ,,
Baek_Alpha,Baek,Alpha,교촌 Before,1,0.00%,Baek ,,
Baik_Alpha,Baik,Alpha,교촌 Before,1,0.00%,Baik ,,
Ball_Alpha,Ball,Alpha,교촌 Before,1,0.00%,Ball ,,
Bambi_Alpha,Bambi,Alpha,교촌 Before,1,0.00%,Bambi ,,
Bang_Alpha,Bang,Alpha,교촌 Before,4,0.01%,Bang Bang Bang Bang ,,
Bbq_Alpha,Bbq,Alpha,교촌 Before,2,0.00%,Bbq Bbq ,,
Beer_Alpha,Beer,Alpha,교촌 Before,2,0.00%,Beer Beer ,,
Beieid_Alpha,Beieid,Alpha,교촌 Before,1,0.00%,Beieid ,,
Being_Alpha,Being,Alpha,교촌 Before,1,0.00%,Being ,,
Ben_Alpha,Ben,Alpha,교촌 Before,1,0.00%,Ben ,,
Best_Alpha,Best,Alpha,교촌 Before,2,0.00%,Best Best ,,
Bewith_Alpha,Bewith,Alpha,교촌 Before,1,0.00%,Bewith ,,
Bh_Alpha,Bh,Alpha,교촌 Before,1,0.00%,Bh ,,
Bhc_Alpha,Bhc,Alpha,교촌 Before,4,0.01%,Bhc Bhc Bhc Bhc ,,
Big_Alpha,Big,Alpha,교촌 Before,1,0.00%,Big ,,
Biker_Alpha,Biker,Alpha,교촌 Before,1,0.00%,Biker ,,
Bj_Alpha,Bj,Alpha,교촌 Before,1,0.00%,Bj ,,
Boy_Alpha,Boy,Alpha,교촌 Before,1,0.00%,Boy ,,
Brian_Alpha,Brian,Alpha,교촌 Before,1,0.00%,Brian ,,
Broth_Alpha,Broth,Alpha,교촌 Before,1,0.00%,Broth ,,
Brtn_Alpha,Brtn,Alpha,교촌 Before,1,0.00%,Brtn ,,
Bs_Alpha,Bs,Alpha,교촌 Before,1,0.00%,Bs ,,
Bunsik_Alpha,Bunsik,Alpha,교촌 Before,1,0.00%,Bunsik ,,
Burr_Alpha,Burr,Alpha,교촌 Before,1,0.00%,Burr ,,
BursT_Alpha,BursT,Alpha,교촌 Before,1,0.00%,BursT ,,
C_Alpha,C,Alpha,교촌 Before,6,0.01%,C C C C C C ,,
CCTV_Alpha,CCTV,Alpha,교촌 Before,2,0.00%,CCTV CCTV ,,
CEO_Alpha,CEO,Alpha,교촌 Before,3,0.00%,CEO CEO CEO ,,
CF_Alpha,CF,Alpha,교촌 Before,2,0.00%,CF CF ,,
CHICKEN_Alpha,CHICKEN,Alpha,교촌 Before,3,0.00%,CHICKEN CHICKEN CHICKEN ,,5
CHOI_Alpha,CHOI,Alpha,교촌 Before,1,0.00%,CHOI ,,
CHUL_Alpha,CHUL,Alpha,교촌 Before,1,0.00%,CHUL ,,
Calm_Alpha,Calm,Alpha,교촌 Before,1,0.00%,Calm ,,
Campanella_Alpha,Campanella,Alpha,교촌 Before,1,0.00%,Campanella ,,
CarTube_Alpha,CarTube,Alpha,교촌 Before,1,0.00%,CarTube ,,
Carry_Alpha,Carry,Alpha,교촌 Before,1,0.00%,Carry ,,
Cha_Alpha,Cha,Alpha,교촌 Before,1,0.00%,Cha ,,
Chals_Alpha,Chals,Alpha,교촌 Before,1,0.00%,Chals ,,
Chan_Alpha,Chan,Alpha,교촌 Before,1,0.00%,Chan ,,
Chang_Alpha,Chang,Alpha,교촌 Before,1,0.00%,Chang ,,
Chen_Alpha,Chen,Alpha,교촌 Before,1,0.00%,Chen ,,
Cheon_Alpha,Cheon,Alpha,교촌 Before,1,0.00%,Cheon ,,
Cheongkang_Alpha,Cheongkang,Alpha,교촌 Before,1,0.00%,Cheongkang ,,
Chicken_Alpha,Chicken,Alpha,교촌 Before,6,0.01%,Chicken Chicken Chicken Chicken Chicken Chicken ,,
Chloe_Alpha,Chloe,Alpha,교촌 Before,1,0.00%,Chloe ,,
Cho_Alpha,Cho,Alpha,교촌 Before,2,0.00%,Cho Cho ,,
Choi_Alpha,Choi,Alpha,교촌 Before,3,0.00%,Choi Choi Choi ,,
Chosunbiz_Alpha,Chosunbiz,Alpha,교촌 Before,1,0.00%,Chosunbiz ,,
Chul_Alpha,Chul,Alpha,교촌 Before,1,0.00%,Chul ,,
Chung_Alpha,Chung,Alpha,교촌 Before,1,0.00%,Chung ,,
City_Alpha,City,Alpha,교촌 Before,1,0.00%,City ,,
Classy_Alpha,Classy,Alpha,교촌 Before,1,0.00%,Classy ,,
Clay_Alpha,Clay,Alpha,교촌 Before,2,0.00%,Clay Clay ,,
Cleanup_Alpha,Cleanup,Alpha,교촌 Before,1,0.00%,Cleanup ,,
Combo_Alpha,Combo,Alpha,교촌 Before,2,0.00%,Combo Combo ,,
Comments_Alpha,Comments,Alpha,교촌 Before,3,0.00%,Comments Comments Comments ,,
Cook_Alpha,Cook,Alpha,교촌 Before,1,0.00%,Cook ,,
Cooking_Alpha,Cooking,Alpha,교촌 Before,5,0.01%,Cooking Cooking Cooking Cooking Cooking ,,
Cuisine_Alpha,Cuisine,Alpha,교촌 Before,14,0.02%,Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine Cuisine ,,
D_Alpha,D,Alpha,교촌 Before,2,0.00%,D D ,,
DH_Alpha,DH,Alpha,교촌 Before,1,0.00%,DH ,,
DJ_Alpha,DJ,Alpha,교촌 Before,3,0.00%,DJ DJ DJ ,,
DMC_Alpha,DMC,Alpha,교촌 Before,1,0.00%,DMC ,,
DOCTOR_Alpha,DOCTOR,Alpha,교촌 Before,1,0.00%,DOCTOR ,,
DODO_Alpha,DODO,Alpha,교촌 Before,1,0.00%,DODO ,,
DONGDONG_Alpha,DONGDONG,Alpha,교촌 Before,1,0.00%,DONGDONG ,,
DUKE_Alpha,DUKE,Alpha,교촌 Before,1,0.00%,DUKE ,,
DULOLL_Alpha,DULOLL,Alpha,교촌 Before,1,0.00%,DULOLL ,,
DY_Alpha,DY,Alpha,교촌 Before,1,0.00%,DY ,,
Dad_Alpha,Dad,Alpha,교촌 Before,1,0.00%,Dad ,,
Dae_Alpha,Dae,Alpha,교촌 Before,1,0.00%,Dae ,,
Dagam_Alpha,Dagam,Alpha,교촌 Before,1,0.00%,Dagam ,,
Dance_Alpha,Dance,Alpha,교촌 Before,1,0.00%,Dance ,,
David_Alpha,David,Alpha,교촌 Before,2,0.00%,David David ,,
Day_Alpha,Day,Alpha,교촌 Before,2,0.00%,Day Day ,,
