형태소,품사,분류,카운트,상대빈도,시각화용,,,
A,Alpha,교촌 전,1,0.00143%,A ,,,
A,Alpha,교촌 전,1,0.00143%,A ,,,
A,Alpha,교촌 전,2,0.00143%,A A ,,,
A,Alpha,교촌 전,1,0.00143%,A ,,,
A,Alpha,교촌 전,1,0.00143%,A ,,,
A,Alpha,교촌 전,1,0.00143%,A ,,,
AET,Alpha,교촌 전,1,0.00143%,AET ,,,
AG,Alpha,교촌 전,1,0.00143%,AG ,,,
ALL,Alpha,교촌 전,1,0.00143%,ALL ,,,
AST,Alpha,교촌 전,1,0.00143%,AST ,,,
AUSD,Alpha,교촌 전,1,0.00143%,AUSD ,,,
AUTOPLAY,Alpha,교촌 전,3,0.00143%,AUTOPLAY AUTOPLAY AUTOPLAY ,,,
Ad,Alpha,교촌 전,1,0.00143%,Ad ,,,
Add,Alpha,교촌 전,3,0.00143%,Add Add Add ,,,
Aid,Alpha,교촌 전,1,0.00143%,Aid ,,,
Alder,Alpha,교촌 전,1,0.00143%,Alder ,,,
All,Alpha,교촌 전,1,0.00143%,All ,,,
All,Alpha,교촌 전,1,0.00143%,All ,,,
Amita,Alpha,교촌 전,1,0.00143%,Amita ,,,
Amiyo,Alpha,교촌 전,1,0.00143%,Amiyo ,,,
Anbakyong,Alpha,교촌 전,1,0.00143%,Anbakyong ,,,
Andrew,Alpha,교촌 전,1,0.00143%,Andrew ,,,
Angel,Alpha,교촌 전,1,0.00143%,Angel ,,,
Atomic,Alpha,교촌 전,1,0.00143%,Atomic ,,,
Aura,Alpha,교촌 전,1,0.00143%,Aura ,,,
AutoMatic,Alpha,교촌 전,1,0.00143%,AutoMatic ,,,
Avenir,Alpha,교촌 전,1,0.00143%,Avenir ,,,
B,Alpha,교촌 전,1,0.00143%,B ,,,
B,Alpha,교촌 전,1,0.00143%,B ,,,
B,Alpha,교촌 전,1,0.00143%,B ,,,
B,Alpha,교촌 전,1,0.00143%,B ,,,
B,Alpha,교촌 전,1,0.00143%,B ,,,
B,Alpha,교촌 전,1,0.00143%,B ,,,
B,Alpha,교촌 전,1,0.00143%,B ,,,
B,Alpha,교촌 전,2,0.00143%,B B ,,,
B,Alpha,교촌 전,1,0.00143%,B ,,,
B,Alpha,교촌 전,1,0.00143%,B ,,,
BANANA,Alpha,교촌 전,1,0.00143%,BANANA ,,,
BANANANA,Alpha,교촌 전,1,0.00143%,BANANANA ,,,
BANE,Alpha,교촌 전,1,0.00143%,BANE ,,,
BB,Alpha,교촌 전,1,0.00143%,BB ,,,
BB,Alpha,교촌 전,1,0.00143%,BB ,,,
BB,Alpha,교촌 전,1,0.00143%,BB ,,,
BBQ,Alpha,교촌 전,1,0.00143%,BBQ ,,,
BBQ,Alpha,교촌 전,1,0.00143%,BBQ ,,,
BBQ,Alpha,교촌 전,1,0.00143%,BBQ ,,,
BBQ,Alpha,교촌 전,1,0.00143%,BBQ ,,,
BBQ,Alpha,교촌 전,2,0.00143%,BBQ BBQ ,,,
BBQ,Alpha,교촌 전,1,0.00143%,BBQ ,,,
BBQ,Alpha,교촌 전,1,0.00143%,BBQ ,,,
BBQ,Alpha,교촌 전,1,0.00143%,BBQ ,,,
BBQ,Alpha,교촌 전,1,0.00143%,BBQ ,,,
BBQ,Alpha,교촌 전,1,0.00143%,BBQ ,,,
BBQ,Alpha,교촌 전,1,0.00143%,BBQ ,,,
BBQ,Alpha,교촌 전,2,0.00143%,BBQ BBQ ,,,
BBQ,Alpha,교촌 전,2,0.00143%,BBQ BBQ ,,,
BBQ,Alpha,교촌 전,1,0.00143%,BBQ ,,,
BBQ,Alpha,교촌 전,1,0.00143%,BBQ ,,,
BBQ,Alpha,교촌 전,2,0.00143%,BBQ BBQ ,,,
BBQ,Alpha,교촌 전,1,0.00143%,BBQ ,,,
