형태소,품사,분류,카운트,상대빈도,시각화용,,,
A,Alpha,교촌 전,1,,A ,,,
A,Alpha,교촌 전,1,,A ,,,
A,Alpha,교촌 전,2,,A A ,,,
A,Alpha,교촌 전,1,,A ,,,
A,Alpha,교촌 전,1,,A ,,,
A,Alpha,교촌 전,1,,A ,,,
AET,Alpha,교촌 전,1,,AET ,,,
AG,Alpha,교촌 전,1,,AG ,,,
ALL,Alpha,교촌 전,1,,ALL ,,,
AST,Alpha,교촌 전,1,,AST ,,,
AUSD,Alpha,교촌 전,1,,AUSD ,,,
AUTOPLAY,Alpha,교촌 전,3,,AUTOPLAY AUTOPLAY AUTOPLAY ,,,
Ad,Alpha,교촌 전,1,,Ad ,,,
Add,Alpha,교촌 전,3,,Add Add Add ,,,
Aid,Alpha,교촌 전,1,,Aid ,,,
Alder,Alpha,교촌 전,1,,Alder ,,,
All,Alpha,교촌 전,1,,All ,,,
All,Alpha,교촌 전,1,,All ,,,
Amita,Alpha,교촌 전,1,,Amita ,,,
Amiyo,Alpha,교촌 전,1,,Amiyo ,,,
Anbakyong,Alpha,교촌 전,1,,Anbakyong ,,,
Andrew,Alpha,교촌 전,1,,Andrew ,,,
Angel,Alpha,교촌 전,1,,Angel ,,,
Atomic,Alpha,교촌 전,1,,Atomic ,,,
Aura,Alpha,교촌 전,1,,Aura ,,,
AutoMatic,Alpha,교촌 전,1,,AutoMatic ,,,
Avenir,Alpha,교촌 전,1,,Avenir ,,,
B,Alpha,교촌 전,1,,B ,,,
B,Alpha,교촌 전,1,,B ,,,
B,Alpha,교촌 전,1,,B ,,,
B,Alpha,교촌 전,1,,B ,,,
B,Alpha,교촌 전,1,,B ,,,
B,Alpha,교촌 전,1,,B ,,,
B,Alpha,교촌 전,1,,B ,,,
B,Alpha,교촌 전,2,,B B ,,,
B,Alpha,교촌 전,1,,B ,,,
B,Alpha,교촌 전,1,,B ,,,
BANANA,Alpha,교촌 전,1,,BANANA ,,,
BANANANA,Alpha,교촌 전,1,,BANANANA ,,,
BANE,Alpha,교촌 전,1,,BANE ,,,
BB,Alpha,교촌 전,1,,BB ,,,
BB,Alpha,교촌 전,1,,BB ,,,
BB,Alpha,교촌 전,1,,BB ,,,
BBQ,Alpha,교촌 전,1,,BBQ ,,,
BBQ,Alpha,교촌 전,1,,BBQ ,,,
BBQ,Alpha,교촌 전,1,,BBQ ,,,
BBQ,Alpha,교촌 전,1,,BBQ ,,,
BBQ,Alpha,교촌 전,2,,BBQ BBQ ,,,
BBQ,Alpha,교촌 전,1,,BBQ ,,,
BBQ,Alpha,교촌 전,1,,BBQ ,,,
BBQ,Alpha,교촌 전,1,,BBQ ,,,
BBQ,Alpha,교촌 전,1,,BBQ ,,,
BBQ,Alpha,교촌 전,1,,BBQ ,,,
BBQ,Alpha,교촌 전,1,,BBQ ,,,
BBQ,Alpha,교촌 전,2,,BBQ BBQ ,,,
BBQ,Alpha,교촌 전,2,,BBQ BBQ ,,,
BBQ,Alpha,교촌 전,1,,BBQ ,,,
BBQ,Alpha,교촌 전,1,,BBQ ,,,
BBQ,Alpha,교촌 전,2,,BBQ BBQ ,,,
BBQ,Alpha,교촌 전,1,,BBQ ,,,
BBQ,Alpha,교촌 전,1,,BBQ ,,,
BBQ,Alpha,교촌 전,1,,BBQ ,,,
BBQ,Alpha,교촌 전,1,,BBQ ,,,
BBQ,Alpha,교촌 전,1,,BBQ ,,,
BBQ,Alpha,교촌 전,2,,BBQ BBQ ,,,
BHC,Alpha,교촌 전,1,,BHC ,,,
BHC,Alpha,교촌 전,1,,BHC ,,,
BLUE,Alpha,교촌 전,1,,BLUE ,,,
BY,Alpha,교촌 전,3,,BY BY BY ,,,
Baan,Alpha,교촌 전,1,,Baan ,,,
Bad,Alpha,교촌 전,1,,Bad ,,,
Bae,Alpha,교촌 전,1,,Bae ,,,
Baek,Alpha,교촌 전,1,,Baek ,,,
Baik,Alpha,교촌 전,1,,Baik ,,,
Ball,Alpha,교촌 전,1,,Ball ,,,
Bambi,Alpha,교촌 전,1,,Bambi ,,,
Bang,Alpha,교촌 전,4,,Bang Bang Bang Bang ,,,
Bbq,Alpha,교촌 전,1,,Bbq ,,,
Bbq,Alpha,교촌 전,1,,Bbq ,,,
Beer,Alpha,교촌 전,2,,Beer Beer ,,,
Beieid,Alpha,교촌 전,1,,Beieid ,,,
Being,Alpha,교촌 전,1,,Being ,,,
Ben,Alpha,교촌 전,1,,Ben ,,,
